,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,topic,enga,engaSum
151,Tammy Duckworth,Senate,Democrat,IL,,2021-05-19 17:27:38.000000,"This week, Congress sent a strong and resolute message that our entire nation is committed to ending hate against the Asian American, Native Hawaiian and Pacific Islander (AANHPI) community.

While I’m proud of how far we’ve come, it was nice to speak with Ms. Sung Yeon Choimorrow, the Executive Director of National Asian Pacific American Women's Forum (NAPAWF) about what more we could do for the AANHPI community. After a year of rising anti-Asian hate crimes, leadership is needed at every level of our government and across business sectors to meet the needs and unique challenges the AANHPI community faces across the country.",46,0,218,0,SenDuckworth,Facebook,https://facebook.com/SenDuckworth/posts/1956176761222930,,,week congress sent strong resolute message entire nation committed ending hate asian american native hawaiian pacific islander aanhpi communitywhile im proud far weve come nice speak ms sung yeon choimorrow executive director national asian pacific american womens forum napawf could aanhpi community year rising antiasian hate crimes leadership needed every level government across business sectors meet needs unique challenges aanhpi community faces across country,"['week', 'congress', 'sent', 'strong', 'resolute', 'message', 'entire', 'nation', 'committed', 'ending', 'hate', 'asian', 'american', 'native', 'hawaiian', 'pacific', 'islander', 'aanhpi', 'communitywhile', 'im', 'proud', 'far', 'weve', 'come', 'nice', 'speak', 'ms', 'sung', 'yeon', 'choimorrow', 'executive', 'director', 'national', 'asian', 'pacific', 'american', 'womens', 'forum', 'napawf', 'could', 'aanhpi', 'community', 'year', 'rising', 'antiasian', 'hate', 'crimes', 'leadership', 'needed', 'every', 'level', 'government', 'across', 'business', 'sectors', 'meet', 'needs', 'unique', 'challenges', 'aanhpi', 'community', 'faces', 'across', 'country']",24,264,7618
281,Kirsten E. Gillibrand,Senate,Democrat,NY,,2021-05-19 09:47:22.000000,"There aren't many issues where you'll see over 60 Democrats and Republicans coming together to cosponsor a bill. But we've put together a filibuster-proof, bipartisan majority of Senators to reform our military justice system.

GOODMORNINGAMERICA.COM
2 senators’ bipartisan support to fight military sexual assault",14,11,237,0,SenKirstenGillibrand,Facebook,https://facebook.com/SenKirstenGillibrand/posts/916747222203674,,https://www.goodmorningamerica.com/news/video/senators-bipartisan-support-fight-military-sexual-assault-77758026,arent many issues youll see democrats republicans coming together cosponsor bill weve put together filibusterproof bipartisan majority senators reform military justice systemgoodmorningamericacom2 senators bipartisan support fight military sexual assault,"['arent', 'many', 'issues', 'youll', 'see', 'democrats', 'republicans', 'coming', 'together', 'cosponsor', 'bill', 'weve', 'put', 'together', 'filibusterproof', 'bipartisan', 'majority', 'senators', 'reform', 'military', 'justice', 'systemgoodmorningamericacom2', 'senators', 'bipartisan', 'support', 'fight', 'military', 'sexual', 'assault']",17,262,2005
199,Joni Ernst,Senate,Republican,IA,,2021-05-19 14:57:58.000000,"#Iowa motorcyclists are in town! 🏍 They rode all the way to D.C. from our state. As a fellow biker & co-chair of the Motorcycle Caucus, it was great to discuss ways we can all promote #MotorcycleSafetyAwarenessMonth. Remember to share the road & stay safe!",13,0,239,0,senjoniernst,Facebook,https://facebook.com/senjoniernst/posts/1729358453892248,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/188514094_1729358273892266_6517725323308554931_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=G6QiWrO_n2cAX89UKYU&_nc_ht=scontent-iad3-2.xx&tp=14&oh=43cea427f0bf69d9a4c3f912baa37284&oe=60CAD177,,iowa motorcyclists town rode way dc state fellow biker cochair motorcycle caucus great discuss ways promote motorcyclesafetyawarenessmonth remember share road stay safe,"['iowa', 'motorcyclists', 'town', 'rode', 'way', 'dc', 'state', 'fellow', 'biker', 'cochair', 'motorcycle', 'caucus', 'great', 'discuss', 'ways', 'promote', 'motorcyclesafetyawarenessmonth', 'remember', 'share', 'road', 'stay', 'safe']",13,252,5024
3,Don Bacon,House,Republican,NE,2,2021-05-20 03:05:49+00:00,I stand by our law enforcement and the over 140 Capitol Hill Police who were injured on January 6th. We should learn why leadership utterly failed to be prepared that day. Transparency and learning the facts are needed. 1/2,55,31,155,4,repdonbacon,Twitter,https://twitter.com/RepDonBacon/status/1395214148636749824,,[],stand law enforcement capitol hill police injured january 6th learn leadership utterly failed prepared day transparency learning facts needed,"['stand', 'law', 'enforcement', 'capitol', 'hill', 'police', 'injured', 'january', '6th', 'learn', 'leadership', 'utterly', 'failed', 'prepared', 'day', 'transparency', 'learning', 'facts', 'needed']",06,245,18064
224,Joni Ernst,Senate,Republican,IA,,2021-05-19 13:45:08.000000,"🚨 SOON ➡️ I will speak on the Senate Floor about the need to get America up and running again. WATCH: https://www.senate.gov/legislative/floor_activity_pail.htm

https://www.foxbusiness.com/politics/federal-unemployment-benefits-joni-ernst-labor-shortage

FOXBUSINESS.COM
Republican senators blast federal unemployment perks amid ongoing labor shortage",42,7,196,0,senjoniernst,Facebook,https://facebook.com/senjoniernst/posts/1729306040564156,,https://www.senate.gov/legislative/floor_activity_pail.htm,soon speak senate floor need get america running watch foxbusinesscomrepublican senators blast federal unemployment perks amid ongoing labor shortage,"['soon', 'speak', 'senate', 'floor', 'need', 'get', 'america', 'running', 'watch', 'foxbusinesscomrepublican', 'senators', 'blast', 'federal', 'unemployment', 'perks', 'amid', 'ongoing', 'labor', 'shortage']",07,245,50237
32,Raja Krishnamoorthi,House,Democrat,IL,8,2021-05-19 21:55:01+00:00,"During our Select Subcommittee on COVID hearing, we heard about the filthiness of Emergent’s facilities and inadequate staff training that led to the waste of millions of doses of #COVID19 vaccine. Frankly, my teenage son’s room is cleaner than Emergent’s facility. https://t.co/M51MS45GlP",5,75,164,0,congressmanraja,Twitter,https://twitter.com/CongressmanRaja/status/1395135931611586565,https://pbs.twimg.com/ext_tw_video_thumb/1395134740886347776/pu/img/J9HrceHvC5tunez3.jpg,[],select subcommittee covid hearing heard filthiness emergents facilities inadequate staff training led waste millions doses covid19 vaccine frankly teenage sons room cleaner emergents facility,"['select', 'subcommittee', 'covid', 'hearing', 'heard', 'filthiness', 'emergents', 'facilities', 'inadequate', 'staff', 'training', 'led', 'waste', 'millions', 'doses', 'covid19', 'vaccine', 'frankly', 'teenage', 'sons', 'room', 'cleaner', 'emergents', 'facility']",19,244,1071
134,"Angus S. King, Jr.",Senate,Independent,ME,,2021-05-19 18:55:30.000000,"Afghans who aided U.S. personnel – at great personal risk – have made critical contributions to the United States, and we have a moral imperative to bring them to safety. I have joined a bipartisan group urging steps to strengthen the SIV program.

KING.SENATE.GOV
As U.S. Withdraws Troops from Afghanistan, King Urges Support for Afghans Who Assisted Effort |",13,29,200,0,SenatorAngusSKingJr,Facebook,https://facebook.com/SenatorAngusSKingJr/posts/1899396193548944,,https://www.king.senate.gov/newsroom/press-releases/as-us-withdraws-troops-from-afghanistan-king-urges-support-for-afghans-who-assisted-effort,afghans aided us personnel great personal risk made critical contributions united states moral imperative bring safety joined bipartisan group urging steps strengthen siv programkingsenategovas us withdraws troops afghanistan king urges support afghans assisted effort,"['afghans', 'aided', 'us', 'personnel', 'great', 'personal', 'risk', 'made', 'critical', 'contributions', 'united', 'states', 'moral', 'imperative', 'bring', 'safety', 'joined', 'bipartisan', 'group', 'urging', 'steps', 'strengthen', 'siv', 'programkingsenategovas', 'us', 'withdraws', 'troops', 'afghanistan', 'king', 'urges', 'support', 'afghans', 'assisted', 'effort']",21,242,3422
293,David N. Cicilline,House,Democrat,RI,1,2021-05-19 19:05:16.000000,"Just voted to establish a National Commission on the January 6th Insurrection.

The American people should know the full truth behind this attack on our democracy.

The cops who defended this building, and all those who work on Capitol Hill, deserve to know it won’t happen again.",28,0,214,0,CongressmanDavidCicilline,Facebook,https://facebook.com/CongressmanDavidCicilline/posts/3917426958293200,,,voted establish national commission january 6th insurrectionthe american people know full truth behind attack democracythe cops defended building work capitol hill deserve know wont happen,"['voted', 'establish', 'national', 'commission', 'january', '6th', 'insurrectionthe', 'american', 'people', 'know', 'full', 'truth', 'behind', 'attack', 'democracythe', 'cops', 'defended', 'building', 'work', 'capitol', 'hill', 'deserve', 'know', 'wont', 'happen']",06,242,18064
136,Jeff Merkley,Senate,Democrat,OR,,2021-05-19 18:50:36.000000,"Check out what Washington state is doing to #BreakFreeFromPlastic! Plastics are polluting our oceans, driving climate chaos, and showing up in our food. Momentum is growing to tackle the crisis at the federal level by passing the Break Free from Plastic Pollution Act.

GOVERNING.COM
Washington State Bill to Reduce Plastic, Styrofoam Waste",13,21,205,0,jeffmerkley,Facebook,https://facebook.com/jeffmerkley/posts/10158077748836546,,https://www.governing.com/next/washington-state-bill-to-reduce-plastic-styrofoam-waste,check washington state breakfreefromplastic plastics polluting oceans driving climate chaos showing food momentum growing tackle crisis federal level passing break free plastic pollution actgoverningcomwashington state bill reduce plastic styrofoam waste,"['check', 'washington', 'state', 'breakfreefromplastic', 'plastics', 'polluting', 'oceans', 'driving', 'climate', 'chaos', 'showing', 'food', 'momentum', 'growing', 'tackle', 'crisis', 'federal', 'level', 'passing', 'break', 'free', 'plastic', 'pollution', 'actgoverningcomwashington', 'state', 'bill', 'reduce', 'plastic', 'styrofoam', 'waste']",10,239,3339
282,James M. Inhofe,Senate,Republican,OK,,2021-05-19 09:23:58.000000,"The National Guard have gone above and beyond to protect the Capitol since January 6 – but the security of the complex must remain the responsibility of federal civil law enforcement. A civilian force improves the range of capabilities, streamlines operations beyond the Capitol, and would cost American taxpayers far less than the current proposal — and it’s what General Honoré’s task force recommends.

House Armed Services Committee Ranking Member Congressman Mike D. Rogers and I oppose creating a D.C. National Guard Quick Reaction Force in the House’s emergency supplemental.

If Democrat leadership wants to spend an additional $200 million on the National Guard, it would be better spent on rebuilding Guard readiness that suffered as a result of this over-long deployment to Capitol Hill.

Our full statement ↓
https://www.inhofe.senate.gov/newsroom/press-releases/inhofe-rogers-oppose-creation-of-national-guard-quick-reaction-force-in-house-appropriations-supplemental

INHOFE.SENATE.GOV
U.S. Senator for Oklahoma",82,15,142,0,jiminhofe,Facebook,https://facebook.com/jiminhofe/posts/10158317418784422,,https://www.inhofe.senate.gov/newsroom/press-releases/inhofe-rogers-oppose-creation-of-national-guard-quick-reaction-force-in-house-appropriations-supplemental,national guard gone beyond protect capitol since january security complex must remain responsibility federal civil law enforcement civilian force improves range capabilities streamlines operations beyond capitol would cost american taxpayers far less current proposal general honors task force recommendshouse armed services committee ranking member congressman mike rogers oppose creating dc national guard quick reaction force houses emergency supplementalif democrat leadership wants spend additional million national guard would better spent rebuilding guard readiness suffered result overlong deployment capitol hillour full statement inhofesenategovus senator oklahoma,"['national', 'guard', 'gone', 'beyond', 'protect', 'capitol', 'since', 'january', 'security', 'complex', 'must', 'remain', 'responsibility', 'federal', 'civil', 'law', 'enforcement', 'civilian', 'force', 'improves', 'range', 'capabilities', 'streamlines', 'operations', 'beyond', 'capitol', 'would', 'cost', 'american', 'taxpayers', 'far', 'less', 'current', 'proposal', 'general', 'honors', 'task', 'force', 'recommendshouse', 'armed', 'services', 'committee', 'ranking', 'member', 'congressman', 'mike', 'rogers', 'oppose', 'creating', 'dc', 'national', 'guard', 'quick', 'reaction', 'force', 'houses', 'emergency', 'supplementalif', 'democrat', 'leadership', 'wants', 'spend', 'additional', 'million', 'national', 'guard', 'would', 'better', 'spent', 'rebuilding', 'guard', 'readiness', 'suffered', 'result', 'overlong', 'deployment', 'capitol', 'hillour', 'full', 'statement', 'inhofesenategovus', 'senator', 'oklahoma']",27,239,5149
5,Stacey E. Plaskett,House,Democrat,VI,0,2021-05-20 02:42:41+00:00,Rest welll @PaulEalyMooney rest well twitter.com/PaulEalyMooney…,3,17,205,3,staceyplaskett,Twitter,https://twitter.com/StaceyPlaskett/status/1395208327324393478,,['https://twitter.com/PaulEalyMooney/status/1395123592795414530'],rest welll rest well twittercompaulealymooney,"['rest', 'welll', 'rest', 'well', 'twittercompaulealymooney']",10,228,3339
297,Debbie Lesko,House,Republican,AZ,8,2021-05-19 18:54:19.000000,"My statement on the vote on the January 6th Commission in the U.S. House of Representatives ⬇️

“What happened on January 6th was inexcusable and I wholeheartedly condemn the violence that occurred that day. After thoughtful consideration of this proposal, I decided to vote against this legislation.

If I thought that this commission would be non-political and truly get to the bottom of what happened that day, I would have been inclined to support this legislation. Based on history, however, I have deep concerns about the commission being used by Speaker Pelosi and House Democrats as a political tool against Republicans.

Additionally, there are already numerous Congressional and intergovernmental agencies conducting investigations into the events of that day, including two Senate Committees, the Architect of the Capitol, the Department of Justice, and the Federal Bureau of Investigation. I am confident these investigations will be thorough, and justice will be served. I am concerned this new commission might interfere with these ongoing investigations.”

https://lesko.house.gov/news/documentsingle.aspx?DocumentID=2564

LESKO.HOUSE.GOV
Lesko Statement on House Vote on January 6th Commission",42,16,163,0,RepDebbieLesko,Facebook,https://facebook.com/RepDebbieLesko/posts/1383722215331965,,https://lesko.house.gov/news/documentsingle.aspx?DocumentID=2564,statement vote january 6th commission us house representatives happened january 6th inexcusable wholeheartedly condemn violence occurred day thoughtful consideration proposal decided vote legislationif thought commission would nonpolitical truly get bottom happened day would inclined support legislation based history however deep concerns commission used speaker pelosi house democrats political tool republicansadditionally already numerous congressional intergovernmental agencies conducting investigations events day including two senate committees architect capitol department justice federal bureau investigation confident investigations thorough justice served concerned new commission might interfere ongoing investigationsleskohousegovlesko statement house vote january 6th commission,"['statement', 'vote', 'january', '6th', 'commission', 'us', 'house', 'representatives', 'happened', 'january', '6th', 'inexcusable', 'wholeheartedly', 'condemn', 'violence', 'occurred', 'day', 'thoughtful', 'consideration', 'proposal', 'decided', 'vote', 'legislationif', 'thought', 'commission', 'would', 'nonpolitical', 'truly', 'get', 'bottom', 'happened', 'day', 'would', 'inclined', 'support', 'legislation', 'based', 'history', 'however', 'deep', 'concerns', 'commission', 'used', 'speaker', 'pelosi', 'house', 'democrats', 'political', 'tool', 'republicansadditionally', 'already', 'numerous', 'congressional', 'intergovernmental', 'agencies', 'conducting', 'investigations', 'events', 'day', 'including', 'two', 'senate', 'committees', 'architect', 'capitol', 'department', 'justice', 'federal', 'bureau', 'investigation', 'confident', 'investigations', 'thorough', 'justice', 'served', 'concerned', 'new', 'commission', 'might', 'interfere', 'ongoing', 'investigationsleskohousegovlesko', 'statement', 'house', 'vote', 'january', '6th', 'commission']",06,221,18064
257,Joni Ernst,Senate,Republican,IA,,2021-05-19 11:41:48.000000,"Too often, unelected bureaucrats in D.C. think they know what’s best and make decisions that negatively affect the lives of folks in places like rural #Iowa.

That's why I put forward a bill to reduce the size of the federal bureaucracy. https://www.ernst.senate.gov/public/index.cfm/press-releases?ID=81151594-E800-43EE-A1E9-28D037B98842

ERNST.SENATE.GOV
Ernst: “Our democratic system wasn’t designed to be run by a large, unchecked federal bureaucracy.”",66,8,145,0,senjoniernst,Facebook,https://facebook.com/senjoniernst/posts/1729236087237818,,https://www.ernst.senate.gov/public/index.cfm/press-releases?ID=81151594-E800-43EE-A1E9-28D037B98842,often unelected bureaucrats dc think know whats best make decisions negatively affect lives folks places like rural iowathats put forward bill reduce size federal bureaucracy ernstsenategovernst democratic system wasnt designed run large unchecked federal bureaucracy,"['often', 'unelected', 'bureaucrats', 'dc', 'think', 'know', 'whats', 'best', 'make', 'decisions', 'negatively', 'affect', 'lives', 'folks', 'places', 'like', 'rural', 'iowathats', 'put', 'forward', 'bill', 'reduce', 'size', 'federal', 'bureaucracy', 'ernstsenategovernst', 'democratic', 'system', 'wasnt', 'designed', 'run', 'large', 'unchecked', 'federal', 'bureaucracy']",23,219,67393
186,Gary C. Peters,Senate,Democrat,MI,,2021-05-19 15:23:13.000000,"By investing in critical technology in the U.S. NOW, we can maintain our competitive edge in manufacturing & protect Michigan jobs.

My amendment—included in the competitiveness and innovation package we’re considering on the Senate floor—would do that by boosting domestic semiconductor chip production & decreasing our dependency on countries like China.",53,0,163,0,SenGaryPeters,Facebook,https://facebook.com/SenGaryPeters/posts/10159259766789324,,,investing critical technology us maintain competitive edge manufacturing protect michigan jobsmy amendmentincluded competitiveness innovation package considering senate floorwould boosting domestic semiconductor chip production decreasing dependency countries like china,"['investing', 'critical', 'technology', 'us', 'maintain', 'competitive', 'edge', 'manufacturing', 'protect', 'michigan', 'jobsmy', 'amendmentincluded', 'competitiveness', 'innovation', 'package', 'considering', 'senate', 'floorwould', 'boosting', 'domestic', 'semiconductor', 'chip', 'production', 'decreasing', 'dependency', 'countries', 'like', 'china']",27,216,5149
195,Mitch McConnell,Senate,Republican,KY,,2021-05-19 15:01:57.000000,"Rather than having Israel’s back, senior Democrats have pressured Israel to end its defensive operations. They’ve called for a ceasefire and urged leaders to ""strive for peace through a negotiated two-state solution""… We cannot send the signal that terrorist attacks on American allies will be met with mealy-mouthed attempts to blame both sides: https://sen.gov/KJ2Q",134,0,79,0,mitchmcconnell,Facebook,https://facebook.com/mitchmcconnell/posts/4124923230879670,,https://sen.gov/KJ2Q,rather israels back senior democrats pressured israel end defensive operations theyve called ceasefire urged leaders strive peace negotiated twostate solution cannot send signal terrorist attacks american allies met mealymouthed attempts blame sides,"['rather', 'israels', 'back', 'senior', 'democrats', 'pressured', 'israel', 'end', 'defensive', 'operations', 'theyve', 'called', 'ceasefire', 'urged', 'leaders', 'strive', 'peace', 'negotiated', 'twostate', 'solution', 'cannot', 'send', 'signal', 'terrorist', 'attacks', 'american', 'allies', 'met', 'mealymouthed', 'attempts', 'blame', 'sides']",25,213,70271
207,Martin Heinrich,Senate,Democrat,NM,,2021-05-19 14:38:32.000000,"Electrifying our homes and businesses can create millions of new jobs, reduce our energy bills, and improve air quality and public health.

And it’s not some pie in the sky plan—it’s an answer to the #ClimateCrisis we can implement right now, with tools we already have.

More electric vehicles, stoves, and heat pumps. This is how we start to save the planet. #ElectrifyingAmericasFuture

THEHILL.COM
Senate Democrats unveil resolution calling for carbon-free electric sector by 2035",36,13,164,0,MartinHeinrich,Facebook,https://facebook.com/MartinHeinrich/posts/10159361852329214,,https://thehill.com/policy/energy-environment/554194-senate-democrats-unveil-resolution-calling-for-decarbonized,electrifying homes businesses create millions new jobs reduce energy bills improve air quality public healthand pie sky planits answer climatecrisis implement right tools already havemore electric vehicles stoves heat pumps start save planet electrifyingamericasfuturethehillcomsenate democrats unveil resolution calling carbonfree electric sector,"['electrifying', 'homes', 'businesses', 'create', 'millions', 'new', 'jobs', 'reduce', 'energy', 'bills', 'improve', 'air', 'quality', 'public', 'healthand', 'pie', 'sky', 'planits', 'answer', 'climatecrisis', 'implement', 'right', 'tools', 'already', 'havemore', 'electric', 'vehicles', 'stoves', 'heat', 'pumps', 'start', 'save', 'planet', 'electrifyingamericasfuturethehillcomsenate', 'democrats', 'unveil', 'resolution', 'calling', 'carbonfree', 'electric', 'sector']",12,213,3059
222,Kirsten E. Gillibrand,Senate,Democrat,NY,,2021-05-19 13:50:16.000000,"Across the country, our highways are being battered by flooding, storm surges, wildfires, sea-level rise, and other natural disasters caused by climate change. I'm introducing the Resilient Highways Act to protect our highway infrastructure.",87,0,122,0,SenKirstenGillibrand,Facebook,https://facebook.com/SenKirstenGillibrand/posts/916858085525921,,,across country highways battered flooding storm surges wildfires sealevel rise natural disasters caused climate change im introducing resilient highways act protect highway infrastructure,"['across', 'country', 'highways', 'battered', 'flooding', 'storm', 'surges', 'wildfires', 'sealevel', 'rise', 'natural', 'disasters', 'caused', 'climate', 'change', 'im', 'introducing', 'resilient', 'highways', 'act', 'protect', 'highway', 'infrastructure']",17,209,2005
387,Joe Courtney,House,Democrat,CT,2,2021-05-19 10:29:10.000000,"The U.S. Coast Guard performs important, often dangerous work all around the globe, and their success begins at the U.S. Coast Guard Academy.

Grateful to be designated this year as a member of the bipartisan USCGA Board of Visitors, and excited to join President Biden today at the Academy’s graduation to congratulate these hardworking cadets on their achievements.

THEDAY.COM
President Joe Biden delivers commencement address at Coast Guard Academy in New London",8,9,189,0,joecourtney,Facebook,https://facebook.com/joecourtney/posts/10159131924174231,,https://www.theday.com/local-news/20210519/president-joe-biden-set-to-speak-at-coast-guard-academy-commencement,us coast guard performs important often dangerous work around globe success begins us coast guard academygrateful designated year member bipartisan uscga board visitors excited join president biden today academys graduation congratulate hardworking cadets achievementsthedaycompresident joe biden delivers commencement address coast guard academy new london,"['us', 'coast', 'guard', 'performs', 'important', 'often', 'dangerous', 'work', 'around', 'globe', 'success', 'begins', 'us', 'coast', 'guard', 'academygrateful', 'designated', 'year', 'member', 'bipartisan', 'uscga', 'board', 'visitors', 'excited', 'join', 'president', 'biden', 'today', 'academys', 'graduation', 'congratulate', 'hardworking', 'cadets', 'achievementsthedaycompresident', 'joe', 'biden', 'delivers', 'commencement', 'address', 'coast', 'guard', 'academy', 'new', 'london']",02,206,477
225,Debbie Stabenow,Senate,Democrat,MI,,2021-05-19 13:41:06.000000,It's time for the Senate to stand up for American workers by passing the Endless Frontier Act and my bipartisan Make in America Act.,56,13,133,0,SenatorStabenow,Facebook,https://facebook.com/SenatorStabenow/videos/781758652417587,,,time senate stand american workers passing endless frontier act bipartisan make america act,"['time', 'senate', 'stand', 'american', 'workers', 'passing', 'endless', 'frontier', 'act', 'bipartisan', 'make', 'america', 'act']",07,202,50237
123,Tammy Duckworth,Senate,Democrat,IL,,2021-05-19 21:10:23.000000,"As the Chair of the Environment and Public Works Subcommittee on Fisheries, Water and Wildlife, it was a pleasure to speak with Illinois members of the American Waterways Operators about our shared priorities for strengthening Illinois's waterways, navigation and sustainability.

In the weeks and months ahead, it is vitally important we pass the American Jobs Plan which would deliver $17 billion for ports and waterways and help Illinoisans across the state.

Water infrastructure is infrastructure, and I'll continue to work across the aisle until we get it done.",24,0,176,0,SenDuckworth,Facebook,https://facebook.com/SenDuckworth/posts/1956284227878850,,,chair environment public works subcommittee fisheries water wildlife pleasure speak illinois members american waterways operators shared priorities strengthening illinoiss waterways navigation sustainabilityin weeks months ahead vitally important pass american jobs plan would deliver billion ports waterways help illinoisans across statewater infrastructure infrastructure ill continue work across aisle get done,"['chair', 'environment', 'public', 'works', 'subcommittee', 'fisheries', 'water', 'wildlife', 'pleasure', 'speak', 'illinois', 'members', 'american', 'waterways', 'operators', 'shared', 'priorities', 'strengthening', 'illinoiss', 'waterways', 'navigation', 'sustainabilityin', 'weeks', 'months', 'ahead', 'vitally', 'important', 'pass', 'american', 'jobs', 'plan', 'would', 'deliver', 'billion', 'ports', 'waterways', 'help', 'illinoisans', 'across', 'statewater', 'infrastructure', 'infrastructure', 'ill', 'continue', 'work', 'across', 'aisle', 'get', 'done']",05,200,1503
263,Marsha Blackburn,Senate,Republican,TN,,2021-05-19 11:24:30.000000,"This week on Unmuted with Marsha, I speak with Steve Forbes about the dangers of rising inflation, and how President Biden’s policies have put the future of our economy at stake.",52,30,117,0,marshablackburn,Facebook,https://facebook.com/marshablackburn/videos/155224433234246,,,week unmuted marsha speak steve forbes dangers rising inflation president bidens policies put future economy stake,"['week', 'unmuted', 'marsha', 'speak', 'steve', 'forbes', 'dangers', 'rising', 'inflation', 'president', 'bidens', 'policies', 'put', 'future', 'economy', 'stake']",24,199,7618
327,Debbie Lesko,House,Republican,AZ,8,2021-05-19 15:51:56.000000,"The reports of terror suspects trying to cross our southern border are extremely concerning. The #BidenBorderCrisis is a national security crisis and puts American lives at risk. https://www.foxnews.com/politics/mccarthy-brief-classified-memo-suspected-terrorists-mexico-border-national-security

FOXNEWS.COM
McCarthy briefed on classified memo about terror suspects caught at Mexico border: 'National security crisis'",27,75,95,0,RepDebbieLesko,Facebook,https://facebook.com/RepDebbieLesko/posts/1383640365340150,,https://www.foxnews.com/politics/mccarthy-brief-classified-memo-suspected-terrorists-mexico-border-national-security,reports terror suspects trying cross southern border extremely concerning bidenbordercrisis national security crisis puts american lives risk foxnewscommccarthy briefed classified memo terror suspects caught mexico border national security crisis,"['reports', 'terror', 'suspects', 'trying', 'cross', 'southern', 'border', 'extremely', 'concerning', 'bidenbordercrisis', 'national', 'security', 'crisis', 'puts', 'american', 'lives', 'risk', 'foxnewscommccarthy', 'briefed', 'classified', 'memo', 'terror', 'suspects', 'caught', 'mexico', 'border', 'national', 'security', 'crisis']",03,197,992
106,Brian J. Mast,House,Republican,FL,18,2021-05-19 13:50:51+00:00,"The truth is, from this moment on, Americans must ignore lies coming from Speaker Pelosi and start to listen to scientists.

The CDC scientists have made it CLEAR if you are fully vaccinated you no longer have to wear a mask.
nationalreview.com/news/house-rep…",45,38,113,1,repbrianmast,Twitter,https://twitter.com/RepBrianMast/status/1395014090242789382,,['https://www.nationalreview.com/news/house-republicans-to-force-vote-to-lift-mask-mandate-for-vaccinated-members/'],truth moment americans must ignore lies coming speaker pelosi start listen scientiststhe cdc scientists made clear fully vaccinated longer wear masknationalreviewcomnewshouserep,"['truth', 'moment', 'americans', 'must', 'ignore', 'lies', 'coming', 'speaker', 'pelosi', 'start', 'listen', 'scientiststhe', 'cdc', 'scientists', 'made', 'clear', 'fully', 'vaccinated', 'longer', 'wear', 'masknationalreviewcomnewshouserep']",22,197,31386
143,Robert Menendez,Senate,Democrat,NJ,,2021-05-19 17:51:16.000000,"You’d think Senator McConnell of all people would know what ""slanted and unbalanced"" policy looks like.

✅$2 trillion dollar tax giveaways to the wealthy
✅ Kentucky taking billions more than it gives the federal treasury

But no, a Jan. 6th commission with 5 Democrats, 5 Republicans and bipartisan subpoena power is not unbalanced— it's necessary to protect democracy.

THEHILL.COM
McConnell says he opposes 'slanted' Jan. 6 commission bill",89,19,89,0,senatormenendez,Facebook,https://facebook.com/senatormenendez/posts/10159255436911358,,https://thehill.com/policy/national-security/554317-mcconnell-says-he-opposes-slanted-jan-6-commission-bill,youd think senator mcconnell people would know slanted unbalanced policy looks like2 trillion dollar tax giveaways wealthy kentucky taking billions gives federal treasurybut jan 6th commission democrats republicans bipartisan subpoena power unbalanced necessary protect democracythehillcommcconnell says opposes slanted jan commission bill,"['youd', 'think', 'senator', 'mcconnell', 'people', 'would', 'know', 'slanted', 'unbalanced', 'policy', 'looks', 'like2', 'trillion', 'dollar', 'tax', 'giveaways', 'wealthy', 'kentucky', 'taking', 'billions', 'gives', 'federal', 'treasurybut', 'jan', '6th', 'commission', 'democrats', 'republicans', 'bipartisan', 'subpoena', 'power', 'unbalanced', 'necessary', 'protect', 'democracythehillcommcconnell', 'says', 'opposes', 'slanted', 'jan', 'commission', 'bill']",23,197,67393
441,House Committee on Foreign Affairs,House,N/A,N/A,N/A,2021-05-19 17:54:16+00:00,"LR @RepMcCaul: “I am proud to see support for my resolution with CHM @RepGregoryMeeks condemning the ongoing #genocide by the #CCP against #Uyghurs. I hope @SpeakerPelosi brings this to the floor soon, allowing us to show our united voice in Congress against these atrocities.” twitter.com/UyghurProject/…",5,94,95,3,houseforeigngop,Twitter,https://twitter.com/HouseForeignGOP/status/1395075344961519617,,['https://twitter.com/UyghurProject/status/1395018326393380864'],lr proud see support resolution chm condemning ongoing genocide ccp uyghurs hope brings floor soon allowing us show united voice congress atrocities twittercomuyghurproject,"['lr', 'proud', 'see', 'support', 'resolution', 'chm', 'condemning', 'ongoing', 'genocide', 'ccp', 'uyghurs', 'hope', 'brings', 'floor', 'soon', 'allowing', 'us', 'show', 'united', 'voice', 'congress', 'atrocities', 'twittercomuyghurproject']",25,197,70271
